"Datatype property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Example(s) (skos:example)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:expressedDate","expressed date","date en langage naturel","fecha expresada","Natural language expression of a date. This property is a specialization of the name property. In order that the precise meaning of the date can be understood, information such as the calendar used or other specific context should be included.","","Corresponds to RiC-A19 (Expressed Date attribute)","name; textualValue","Date","rdfs:Literal","15 thermidor an IV (calendrier révolutionnaire français) [fr]; 1550-1553, 1555 (date range) [en]; 1925-1966 (date range) [en]; 8 avril 1258 (a. st., style de Pâques) [fr]; All of the years 1550, 1551, 1553, 1555 [en]; Die jovis ultima mensis martii anno domini millesimo quingentesimo quadragesimo ante Pascha [la]; October 24, 1999 (month day, year) [en]; One of the years 1550, 1551, 1553, 1555 [en]; The Middle Ages [en]; The second semester of 1951 to 1952 (academic reference system) [en]; XVIIe siècle [fr]","2023-08-25 : Added a new rdfs:label in French. | 2023-10-10 : Updated the rdfs:comment and skos:examples in order to make this property fully compliant with RiC-CM 1.0. Made it a subproperty of rico:name. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), examples (skos:example)."
"rico:generalDescription","general description","description générale","descripción general","General information about an entity. General description may be used to describe any entity. There are different appropriate uses for general description. First, while it is recommended that more specific properties be used in describing an entity, it may be desirable, for economic or other reasons, to describe two or more specific properties together. Second, general description may be used to describe one or more characteristics that are not otherwise accommodated in RiC-O. Third, it may be used to provide a succinct summary or abstract description in addition to more detailed specific description.","","Corresponds to RiC-A43 (General Description attribute)","","Thing","rdfs:Literal","Le massif du Mont-Blanc est un massif des Alpes partagé entre la France, l'Italie et la Suisse. Il abrite le mont Blanc, plus haut sommet d'Europe occidentale qui culmine à 4 809 mètres (altitude relevée en 2015). Il est traversé par le tunnel du Mont-Blanc, entre Chamonix dans la vallée de l'Arve et Courmayeur dans la vallée d'Aoste. [fr]; The Senate is the academic governing body of the University of Strathclyde and is responsible for all academic matters including academic standards and quality. Meetings of the Senate are chaired by the Principal and the membership is drawn entirely from within the University, comprising academic and research staff. (about a corporate body, University of Strathclyde Senate) [en]; This activity involves regulating the nursing profession by conducting examinations and on-going education for nurses, maintaining rolls of those qualified as enrolled or registered nurses, midwives, psychiatric, and other specialised nurses. It also covers hearing disciplinary charges against nurses (and where necessary, removing them temporarily or permanently from the registers), as well as promoting the nursing profession. (about an activity, Nursing Profession Regulation) [en]; Thomas Blaikie (1750-1838) est un botaniste et jardinier écossais. Il a dessiné notamment les jardins de Malmaison et Bagatelle. [fr]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), examples (skos:example)."
"rico:geodesicSystem","geodesic system","système géodésique","sistema geodésico","Reference system used for geographical coordinates.","","","referenceSystem","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:geographicalCoordinates","geographical coordinates","coordonnées géographiques","coordenadas geográficas","Longitudinal and latitudinal information about a Place.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use PhysicalLocation and Coordinates classes with Place. Coordinates may be based on ISO 6709 Standard representation of geographic point location by coordinates.","Corresponds to RiC-A11 (Coordinates attribute)","","Place","rdfs:Literal","Latitude 35.89421911, Longitude 139.94637467 (ISO 6709/F) [en]; Latitude 50°40′46,461″N, Longitude 95°48′26,533″W, Height 123,45m (ISO 6709/D) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), examples (skos:example)."
"rico:height","height","hauteur","altura","Vertical dimension of an entity.","","","measure","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:history","history","histoire","historia","Summary of the development of an entity throughout its existence.","For a record set, may be used to summarize the history of the Record Set itself, or additionally to summarize the history of some or all members of the Record Set. Should not be confused with the scope and content property.","Corresponds to RiC-A21 (History attribute)","","Agent; Event; Instantiation; Place; RecordResource; Rule","rdfs:Literal","El primer sorteo de lotería se celebró el 13 de mayo de 1771, siendo desarrollado por la Real Lotería General de Nueva España… (sobre una actividad) [es]; Nacido en Barbastro en 1892, donde realizó sus primeros estudios con los escolapios. Licenciado en Derecho por la Universidad de Zaragoza, aprobó las oposiciones al cuerpo nacional de notarios… (sobre una persona) [es]; The manuscripts are part of the collections of Robert Harley (d 1724) and Edward Harley (d 1741), 1st and 2nd Earls of Oxford, that were brought by Parliament and transferred to the British Museum in 1753. Those materials were then separated into this collection and those for Harley Charters and Harley Rolls and became part of the collections of the British Library in 1972. (about a Record Set) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, domain, examples (skos:example)."
"rico:identifier","identifier","identifiant","identificador","A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain. Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value.","Use only if you don't use Identifier class for handling identifiers. Within a given domain (a closed system), identifiers are used to uniquely reference instances of an entity. Identifiers are instruments of control that facilitate management of the entities within the domain. The formulation of identifiers commonly is based on rules. In addition to an identifier needing to be unique within a domain, it is also highly desirable that it be persistent, that is, that the identifier uniquely identifies the entity over time. A variety of organizations provide rules for the formation of identifiers, and services designed to facilitate the persistence of identifiers. Such identifiers are commonly referred to as Persistent Identifiers (or PIDs). PIDs conform to RFC 3986, but impose additional rules. Common examples are Archival Resource Keys (ARKs) and Digital Object Identifiers (DOIs). Within the global environment of the Internet, there are special rules for the formation of identifiers to ensure that they are unique within the domain of the Internet. Such identifiers must conform to the Internet Engineering Task Force (IETF) Uniform Resource Identifier rules (RFC 3986).","Corresponds to RiC-A22 (Identifier attribute)","","Thing","rdfs:Literal","B-000091 (example of a unique identifier for an instantiation assigned by a repository) [en]; BUD-01-F002 (example of a classification number from a corporate file plan) [en]; F 1204 (example of a local identifier for a record set assigned by a repository) [en]; NAS1/A/1.1 (example of a local identifier for a record) [en]; http://isni.org/0000000073572182 (example of a persistent International Standard Name Identifier for a person) [en]; http://n2t.net/ark:/99166/w6tz44ht (example of an Archival Resource Key for a person) [en]; http://n2t.net/ark:/99166/w6v1266v (example of an Archival Resource Key for a record) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:instantiationExtent","Instantiation extent","mesure de l’instanciation","soporte de instanciación","Countable characteristics of an Instantiation expressed as a quantity.","Instantiation extent should not be confused with record resource extent or carrier extent. For a given Record Resource, the instantiation extent may vary, based on format, density of information on the carrier, etc. For example, a CD with a storage capacity of 700 MB (carrier extent) might hold a record of 1500 words (record resource extent) represented in two versions, one a Word document with an instantiation extent of 3 KB and the other a PDF file with an instantiation extent of 5 KB.","Corresponds to RiC-A23 (Instantiation Extent attribute)","physicalOrLogicalExtent","Instantiation","rdfs:Literal","234 linear metres [en]; Size of PDF file: 1.5 MB [en]; The register has 345 written folios [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:instantiationStructure","Instantiation structure","structure de l’instanciation","estructura de la instanciación","Information about the physical arrangement and composition of an Instantiation.","","Specialization of RiC-A40 (Structure attribute)","structure","Instantiation","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:integrityNote","integrity note","note sur l'intégrité","nota de integridad","Information about the known intellectual completeness of a Record Resource.","May be used in a Record Set description when its value is shared by some or all members of the Record Set. The information about integrity may be generated manually or automatically. Not to be confused with the physical completeness of the instantiation, which is covered by the physical characteristics note attribute. The integrity of a Record Resource and the physical characteristics note of an Instantiation may be complementary. This attribute also covers any additions to or removal of original information.","Corresponds to RiC-A24 (Integrity Note attribute)","note","RecordResource","rdfs:Literal","A web page (HTML, 15 images, 2 CSS, 1 javascript), with 5 images missing. [en]; For record set: series of letters, one is missing so the integrity is compromised. [en]; Line three of a hand-written letter was cut out and a replacement text was inserted by an unknown person. [en]; Part of the text is missing (because a corner on the instantiation was cut out, which is a physical characteristic). See also the examples of physicalCharacteristics. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote, domain, examples (skos:example). | 2025-01-17 : Made this property a subproperty of the new rico:note datatype property."
"rico:lastModificationDate","last modification date","date de dernière modification","fecha de última modificación","Date at which an entity was last updated.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","modificationDate","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:latitude","latitude","latitude","latitud","Distance in degrees north or south of the equator.","Property of the Coordinates class. If you don't use this class, use geographicalCoordinates property, a property of Place class.","","measure","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:length","length","longueur","longitud","Length of an entity.","May be used, among other cases, for storing the length of some places like streets.","","measure","Thing","rdfs:Literal","","2023-08-28 : Added for enabling to describe entities that have such a dimension. | 2023-11-12 : Added a new rdfs:label in Spanish."
"rico:location","location","localisation","localización","A delimitation of the physical territory of a Place. Used to describe basic human-readable text such as an address, a cadastral reference, or less precise information found in a Record.","Use only if you don't use PhysicalLocation class with Place. Use the geographicalCoordinates property, or the Coordinates class, to record the geographical coordinates of the Place. Use the spatial relations (particularly 'has or had location') to capture a relation between two places.","Corresponds to RiC-A27 (Location attribute)","","Place","rdfs:Literal","25 rue Saint-Denis à Paris [fr]; Montreal (city in Canada) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:longitude","longitude","longitude","longitud","Distance in degrees east or west of a prime meridian.","Property of the Coordinates class. If you don't use this class, use geographicalCoordinates property, a property of Place class.","","measure","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:measure","measure","mesure","medida","The extent, quantity, amount, or degree of an entity, as determined by measurement or calculation.","","","","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:migrationDate","migration date","date de migration","fecha de migración","Date at which an Instantiation was or will be migrated.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","derivationDate","Instantiation","rdfs:Literal","","2025-02-19 : Added in RiC-O 1.1. | 2025-03-01 : Removed 'Record Resource' from the definition and made the property a subproperty of the new 'derivationDate' property."
"rico:modificationDate","modification date","date de modification","fecha de modificación","Date of the modification of an entity.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:mostMembersWithAccumulationDate","most members with accumulation date","des membres dont la plupart ont pour date d’accumulation","la mayoría de sus miembros como fecha de acumulación","Date at which most of the present or past members of a Record Set were or will be accumulated.","Datatype property analogue of 'hasOrHadMostMembersWithAccumulationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","","someMembersWithAccumulationDate","RecordSet","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:mostMembersWithCreationDate","most members with creation date","des membres dont la plupart ont pour date de création","la mayoría de sus miembros como fecha de creación","Date at which most of the present or past members of a Record Set were or will be created.","Datatype property analogue of 'hasOrHadMostMembersWithCreationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","RiC-R083i ('has or had most members with creation date' relation).","someMembersWithCreationDate","RecordSet","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:name","name","nom","nombre","A label, title or term designating an entity in order to make it distinguishable from other similar entities.","Use only if you don't use Name class for handling names. Provides brief information about the content or other individual characteristics of the entity being described, necessary to distinguish it from other perhaps similar entities.","Corrresponds to RiC-A28 (Name attribute)","","Thing","rdfs:Literal","D-Day (about a Date or Event) [en]; Digital copy of the Pomarius archival inventory from 1575 (about an Instantiation) [en]; Fundraising, University of Glasgow (about an Activity) [en]; Halloween 2016 (about a Date) [en]; Nelson Mandela (about a Person) [en]; Papers of the Earls of Liverpool (about a Record Set) [en]; Paris (about a Place) [en]; Prime Minister (about a Position) [en]; Providing hearing services (about an Activity) [en]; Sketch Map of the Qatar Peninsula (about a Record) [en]; The Letter of Neacsu from Campulung to the Mayor of Brasov (about a Record) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:normalizedDateValue","normalized date value","valeur normalisée de la date","valor normalizado de fecha","Machine readable representation of the date based on a public technical standard.","Used to represent the date in a standardized format that can be processed programmatically. The main standard used today is ISO 8601, which is based on the Gregorian calendar. See also the Extended Date Time Format (EDTF), which is an extension of ISO 8601, and enables, among other features, to represent a date set, and to indicate the date is approximate.","Corresponds to RiC-A29 (Normalized Date attribute)","normalizedValue","Date","rdfs:Literal","1550,1551,1553,1555 (a date set in EDTF, meaning one of the years 1550, 1551, 1553, 1555) [en]; 1948-03 (an ISO 8601 form of a single date) [en]; 1948-03-08 (an ISO 8601 form of a single date) [en]; 1948-03~ (a single date in ETDF, meaning March 1948 approximately) [en]; 1948/ (a date range in EDTF, starting in 1948, end unknown) [en]; 1948/.. (an open date range in EDTF, starting in 1948) [en]; 2012-02-14/2015-03-08 (an ISO 8601 form of a date range) [en]; 2012/2015-03 (an ISO 8601 form of a date range) [en]; {1550,1551,1553,1555} (a date set in EDTF, meaning all of the years 1550, 1551, 1553, 1555) [en]; {1805,1815..1820} (a date set in EDTF, meaning all of the years 1805, 1815, 1816, 1817, 1818, 1819, 1820) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-10-10 : Updated the rdfs:comment and examples, and added a scopeNote, in order to make this property fully compliant with RiC-CM 1.0. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the examples (skos:example). | 2024-09-02 : Fixed a typo in two of the EDTF examples."
"rico:normalizedValue","normalized value","valeur normalisée","valor normalizado","Value representation based on a standard, preferably machine-readable.","","","textualValue","Appellation; Date","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:note","note","note","nota","A short textual statement, that gives a little information on a specific feature of a Thing.","Not to be confused with the rico:generalDescription datatype property, which is used to provide a textual description of a Thing. Use the subproperties of rico:note when they are appropriate.","","","Thing","rdfs:Literal","","2025-01-17 : Added in RiC-0 1.1, as a superproperty of any possible kind of note."
"rico:physicalCharacteristicsNote","physical characteristics note","note sur les caractéristiques physiques","nota sobre las características físicas","Information about the physical features, completeness, or conservation status of an Instantiation. Includes information about the physical nature and condition such as conservation status or the deterioration of an Instantiation (for example its carrier) affecting the ability to recover information.","Not to be confused with the intellectual completeness of a Record Resource and its sub-entities, which is covered by the Integrity attribute. May include digital file fixity.","Corresponds to RiC-A31 (Physical Characteristics Note attribute)","note","Instantiation","rdfs:Literal","A web page (HTML, 15 images, 2 CSS, 1 JavaScript), with 1 CSS missing. [en]; British Library binding [en]; Digital file format: JPEG-2000 [en]; For carrier: hard drives on which the author wrote physically (using a pen). [en]; Letter physical characteristics: corner without text missing – the carrier is damaged, but no information of the content is missing [en]; The charter is missing the seal. [en]; Watermarked [en]; carrier heavily foxed [en]; some loss of text due to rodent damage [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote, examples (skos:example). | 2025-01-17 : Made this property a subproperty of the new rico:note datatype property."
"rico:physicalOrLogicalExtent","physical or logical extent","importance physique ou logique","soporte físico o lógico","Countable characteristics of the content of an entity expressed as a quantity.","Provided for usability reasons. Use only if you cannot use the subproperties (particularly if the same free text is being used in your current metadata for describing the record resource, carrier and instantiation extent).","","","Instantiation; RecordResource","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:productionTechnique","production technique","technique de production","técnica de produccióon","The method used in the representation of information on an Instantiation.","Use only if you have free text or don't have a controlled vocabulary for production techniques (in this case, use the ProductionTechniqueType class)","Corresponds to RiC-A33 (Production Technique attribute)","","Instantiation","rdfs:Literal","engraving [en]; handwriting [en]; magnetic recording [en]; optical recording [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:publicationDate","publication date","date de publication","fecha de publicación","Date of the publication, in the past or in the future, of a Record Resource.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","RecordResource","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2025-02-19 : Changed definition (added "in the past or in the future")."
"rico:qualityOfRepresentationNote","quality of representation note","note sur la qualité de la représentation","nota sobre la calidad de representación","Characteristics of an Instantiation that affect the ability to recover the intellectual content. Such characteristics may be related to the methods used in creating the Instantiation or introduced subsequent to the creation through accident.","Quality of representation note is a specialization of physical characteristics note. Quality of representation note should be used in conjunction with physical characteristics note when the physical characteristics impact the ability to recover the intellectual content.","Corresponds to RiC-A34 (Quality of Representation Note attribute)","physicalCharacteristicsNote","Instantiation","rdfs:Literal","Black and white digitization may have led to loss of some information. [en]; some loss of information due to poor quality of image capture [en]; some loss of text due to rodent damage [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote, rdfs:subpropertyOf."
"rico:quantity","quantity","quantité","cantidad","Machine-readable quantity.","Use if you use the Extent class and its properties for handling an accurate description of the extent of a resource.","","textualValue","Extent","xsd:decimal","","2023-08-25 : Added a new rdfs:label in French. | 2023-08-28 : Added an xml:lang attribute to the rdfs:comment. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:rankInHierarchy","rank in hierarchy","rang dans la hiérarchie","rango en la jerarquía","The rank of a Record Resource, or of a Proxy that stands for it, in a hierarchy.","The object properties rico:directlyIncludes and rico:hasDirectConstituent, or variants of these which are sub-properties of rico:hasOrHadPart, should always be used to express hierarchies in RiC-O. The rico:rankInHierarchy datatype property should only be used in addition (never independently), for convenience (for example to help display or query a graph). But it should be ensured that it reflects and is compatible with (e.g. computed using) the hierarchical object properties in the intended context (e.g. a hierarchy of Record Parts in a given Record). Thus, if, for example, Record Part A rico:hasDirectConstituent Record Part B, then the rico:rankInHierarchy of Record Part B must be strictly greater than rico:rankInHierarchy of Record Part A, and no other Record Part in that context should have rico:rankInHierarchy between that of Record Part A and Record Part B. For a given Record Resource, rico:rankInHierarchy should never be used more than once. If a Record Resource belongs to more than one hierarchy, a rico:Proxy of the Record Resource should be introduced, and rico:rankInHierarchy have source such a proxy, in all cases except (possibly) the first.","","textualValue","RecordResource; Proxy","xsd:int","","2025-03-04 : Introduced in RiC-O 1.1."
"rico:rankInSequence","rank in sequence","rang dans la séquence","rango en la secuencia","The rank of a Record Resource, or of a Proxy that stands for it, in a sequence.","The object property rico:precedesOrPreceded or one of its sub-properties should always be used to express sequences in RiC-O. The rico:rankInSequence datatype property should only be used in addition (never independently), for convenience (for example to help display or query a graph). But it should be ensured that it reflects and is compatible with (e.g. computed using) the sequential object properties in the intended context (e.g. the Records in a given Record Set). Thus, if, for example, Record Resource A rico:precedesOrPreceded Record Resource B, then the rico:rankInSequence of Record Resource B must be strictly greater than rico:rankInSequence of Record Resource A, and no other Record Resource in that context should have rico:rankInSequence between that of Record Resource A and Record Resource B. For a given Record Resource, rico:rankInSequence should never be used more than once. If a Record Resource belongs to more than one sequence, a rico:Proxy of the Record Resource should be introduced, and rico:rankInSequence have source such a proxy, in all cases except (possibly) the first.","","textualValue","RecordResource; Proxy","xsd:int","","2025-03-04 : Introduced in RiC-O 1.1."
