"Datatype property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Example(s) (skos:example)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:conditionsOfAccess","conditions of access","conditions d’accès","condiciones de acceso","Terms and circumstances affecting the availability of a Record Resource or an Instantiation for consultation.","May be used in a Record Set description when its value is shared by some or all members of the Record Set. The attribute provides information about the accessibility of a Record Resource, as well as the physical, technical or legal limitations that exist for providing access to it.","Corresponds to RiC-A08 (Conditions of Access attribute)","","Instantiation; RecordResource","rdfs:Literal","Open [en]; Closed under data protection legislation [en]; Closed as awaiting conservation treatment [en]; Acceso libre a través de los terminales de consulta [es]; The Archives cannot provide VHS reader to access the content of the tape [en]; Recognita software, min. version 3.0, is needed in order to open the file [en]; Closed for 30 years [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:conditionsOfUse","conditions of use","conditions d’utilisation","condiciones de uso","Terms and circumstances affecting the use of a Record Resource or an Instantiation after access has been provided. Includes conditions governing reproduction of the Record Resource under applicable copyright (intellectual property) and/or property legislation or due to conservation status.","May be used in a Record Set description when its value is shared by some or all members of the Record Set.","Corresponds to RiC-A09 (Conditions of Use attribute)","","Instantiation; RecordResource","rdfs:Literal","Permission of the copyright owner must be obtained before use [en]; Cannot be copied using warm light copying machines or photographed using flashlight [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:creationDate","creation date","date de création","fecha de creación","Date at which an entity was created.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","beginningDate","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:date","date","date","fecha","Chronological information associated with an entity that contributes to its identification and contextualization.","Provided for usability reasons, like its subproperties. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property implementation of RiC-E18 (Date entity)","","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:dateQualifier","date qualifier","qualificatif de la date","calificador de fecha","A human readable qualification of a Date to indicate the level of precision or certainty.","Most often, this human readable expression of the accuracy of the date is used along with an ISO 8601 representation of the date. The qualifier can also be expressed as a machine-readable value, using the EDTF standard (thus, a specialization of the normalizedDateValue datatype property).","Corresponds to RiC-A13 (Date Qualifier attribute)","","Date","rdfs:Literal","approximate [en]; circa [en]; end unknown [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-10-10 : Updated the rdfs:comment, skos:scopeNote and examples, in order to make this datatype property fully compliant with RiC-CM 1.0 | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:deathDate","death date","date de décès","fecha de muerte","Date at which a Person died.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","endDate","Person","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:destructionDate","destruction date","date de destruction","fecha de destrucción","Date at which an entity was deleted.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","endDate","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-10-12 : Renamed deletion into destruction. | 2023-11-12 : Added a new rdfs:label in Spanish."
"rico:endDate","end date","date de fin","fecha final","Date at which something ended.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:expressedDate","expressed date","date en langage naturel","fecha expresada","Natural language expression of a date. This property is a specialization of the name property. In order that the precise meaning of the date can be understood, information such as the calendar used or other specific context should be included.","","Corresponds to RiC-A19 (Expressed Date attribute)","name; textualValue","Date","rdfs:Literal","October 24, 1999 (month day, year) [en]; 1925-1966 (date range) [en]; 15 thermidor an IV (calendrier révolutionnaire français) [fr]; 8 avril 1258 (a. st., style de Pâques) [fr]; XVIIe siècle [fr]; The Middle Ages [en]; Die jovis ultima mensis martii anno domini millesimo quingentesimo quadragesimo ante Pascha [la]; 1550-1553, 1555 (date range) [en]; One of the years 1550, 1551, 1553, 1555 [en]; All of the years 1550, 1551, 1553, 1555 [en]; The second semester of 1951 to 1952 (academic reference system) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-10-10 : Updated the rdfs:comment and skos:examples in order to make this property fully compliant with RiC-CM 1.0. Made it a subproperty of rico:name. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), examples (skos:example)."
"rico:generalDescription","general description","description générale","descripción general","General information about an entity. General description may be used to describe any entity. There are different appropriate uses for general description. First, while it is recommended that more specific properties be used in describing an entity, it may be desirable, for economic or other reasons, to describe two or more specific properties together. Second, general description may be used to describe one or more characteristics that are not otherwise accommodated in RiC-O. Third, it may be used to provide a succinct summary or abstract description in addition to more detailed specific description.","","Corresponds to RiC-A43 (General Description attribute)","","Thing","rdfs:Literal","Le massif du Mont-Blanc est un massif des Alpes partagé entre la France, l'Italie et la Suisse. Il abrite le mont Blanc, plus haut sommet d'Europe occidentale qui culmine à 4 809 mètres (altitude relevée en 2015). Il est traversé par le tunnel du Mont-Blanc, entre Chamonix dans la vallée de l'Arve et Courmayeur dans la vallée d'Aoste. [fr]; Thomas Blaikie (1750-1838) est un botaniste et jardinier écossais. Il a dessiné notamment les jardins de Malmaison et Bagatelle. [fr]; The Senate is the academic governing body of the University of Strathclyde and is responsible for all academic matters including academic standards and quality. Meetings of the Senate are chaired by the Principal and the membership is drawn entirely from within the University, comprising academic and research staff. (about a corporate body, University of Strathclyde Senate) [en]; This activity involves regulating the nursing profession by conducting examinations and on-going education for nurses, maintaining rolls of those qualified as enrolled or registered nurses, midwives, psychiatric, and other specialised nurses. It also covers hearing disciplinary charges against nurses (and where necessary, removing them temporarily or permanently from the registers), as well as promoting the nursing profession. (about an activity, Nursing Profession Regulation) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), examples (skos:example)."
"rico:geodesicSystem","geodesic system","système géodésique","sistema geodésico","Reference system used for geographical coordinates.","","","referenceSystem","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:geographicalCoordinates","geographical coordinates","coordonnées géographiques","coordenadas geográficas","Longitudinal and latitudinal information about a Place.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use PhysicalLocation and Coordinates classes with Place. Coordinates may be based on ISO 6709 Standard representation of geographic point location by coordinates.","Corresponds to RiC-A11 (Coordinates attribute)","","Place","rdfs:Literal","Latitude 50°40′46,461″N, Longitude 95°48′26,533″W, Height 123,45m (ISO 6709/D) [en]; Latitude 35.89421911, Longitude 139.94637467 (ISO 6709/F) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), examples (skos:example)."
"rico:height","height","hauteur","altura","Vertical dimension of an entity.","","","measure","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:history","history","histoire","historia","Summary of the development of an entity throughout its existence.","For a record set, may be used to summarize the history of the Record Set itself, or additionally to summarize the history of some or all members of the Record Set. Should not be confused with the scope and content property.","Corresponds to RiC-A21 (History attribute)","","RecordResource; Instantiation; Agent; Event; Rule; Place","rdfs:Literal","The manuscripts are part of the collections of Robert Harley (d 1724) and Edward Harley (d 1741), 1st and 2nd Earls of Oxford, that were brought by Parliament and transferred to the British Museum in 1753. Those materials were then separated into this collection and those for Harley Charters and Harley Rolls and became part of the collections of the British Library in 1972. (about a Record Set) [en]; Nacido en Barbastro en 1892, donde realizó sus primeros estudios con los escolapios. Licenciado en Derecho por la Universidad de Zaragoza, aprobó las oposiciones al cuerpo nacional de notarios… (sobre una persona) [es]; El primer sorteo de lotería se celebró el 13 de mayo de 1771, siendo desarrollado por la Real Lotería General de Nueva España… (sobre una actividad) [es]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, domain, examples (skos:example)."
"rico:identifier","identifier","identifiant","identificador","A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain. Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value.","Use only if you don't use Identifier class for handling identifiers. Within a given domain (a closed system), identifiers are used to uniquely reference instances of an entity. Identifiers are instruments of control that facilitate management of the entities within the domain. The formulation of identifiers commonly is based on rules. In addition to an identifier needing to be unique within a domain, it is also highly desirable that it be persistent, that is, that the identifier uniquely identifies the entity over time. A variety of organizations provide rules for the formation of identifiers, and services designed to facilitate the persistence of identifiers. Such identifiers are commonly referred to as Persistent Identifiers (or PIDs). PIDs conform to RFC 3986, but impose additional rules. Common examples are Archival Resource Keys (ARKs) and Digital Object Identifiers (DOIs). Within the global environment of the Internet, there are special rules for the formation of identifiers to ensure that they are unique within the domain of the Internet. Such identifiers must conform to the Internet Engineering Task Force (IETF) Uniform Resource Identifier rules (RFC 3986).","Corresponds to RiC-A22 (Identifier attribute)","","Thing","rdfs:Literal","http://n2t.net/ark:/99166/w6v1266v (example of an Archival Resource Key for a record) [en]; http://n2t.net/ark:/99166/w6tz44ht (example of an Archival Resource Key for a person) [en]; http://isni.org/0000000073572182 (example of a persistent International Standard Name Identifier for a person) [en]; BUD-01-F002 (example of a classification number from a corporate file plan) [en]; NAS1/A/1.1 (example of a local identifier for a record) [en]; F 1204 (example of a local identifier for a record set assigned by a repository) [en]; B-000091 (example of a unique identifier for an instantiation assigned by a repository) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:instantiationExtent","Instantiation extent","mesure de l’instanciation","soporte de instanciación","Countable characteristics of an Instantiation expressed as a quantity.","Instantiation extent should not be confused with record resource extent or carrier extent. For a given Record Resource, the instantiation extent may vary, based on format, density of information on the carrier, etc. For example, a CD with a storage capacity of 700 MB (carrier extent) might hold a record of 1500 words (record resource extent) represented in two versions, one a Word document with an instantiation extent of 3 KB and the other a PDF file with an instantiation extent of 5 KB.","Corresponds to RiC-A23 (Instantiation Extent attribute)","physicalOrLogicalExtent","Instantiation","rdfs:Literal","The register has 345 written folios [en]; Size of PDF file: 1.5 MB [en]; 234 linear metres [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:instantiationStructure","Instantiation structure","structure de l’instanciation","estructura de la instanciación","Information about the physical arrangement and composition of an Instantiation.","","Specialization of RiC-A40 (Structure attribute)","structure","Instantiation","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:integrityNote","integrity note","note sur l'intégrité","nota de integridad","Information about the known intellectual completeness of a Record Resource.","May be used in a Record Set description when its value is shared by some or all members of the Record Set. The information about integrity may be generated manually or automatically. Not to be confused with the physical completeness of the instantiation, which is covered by the physical characteristics note attribute. The integrity of a Record Resource and the physical characteristics note of an Instantiation may be complementary. This attribute also covers any additions to or removal of original information.","Corresponds to RiC-A24 (Integrity Note attribute)","","RecordResource","rdfs:Literal","For record set: series of letters, one is missing so the integrity is compromised. [en]; A web page (HTML, 15 images, 2 CSS, 1 javascript), with 5 images missing. [en]; Part of the text is missing (because a corner on the instantiation was cut out, which is a physical characteristic). See also the examples of physicalCharacteristics. [en]; Line three of a hand-written letter was cut out and a replacement text was inserted by an unknown person. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote, domain, examples (skos:example)."
"rico:lastModificationDate","last modification date","date de dernière modification","fecha de última modificación","Date at which an entity was last updated.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","modificationDate","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:latitude","latitude","latitude","latitud","Distance in degrees north or south of the equator.","Property of the Coordinates class. If you don't use this class, use geographicalCoordinates property, a property of Place class.","","measure","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:length","length","longueur","longitud","Length of an entity.","May be used, among other cases, for storing the length of some places like streets.","","measure","Thing","rdfs:Literal","","2023-08-28 : Added for enabling to describe entities that have such a dimension. | 2023-11-12 : Added a new rdfs:label in Spanish."
"rico:location","location","localisation","localización","A delimitation of the physical territory of a Place. Used to describe basic human-readable text such as an address, a cadastral reference, or less precise information found in a Record.","Use only if you don't use PhysicalLocation class with Place. Use the geographicalCoordinates property, or the Coordinates class, to record the geographical coordinates of the Place. Use the spatial relations (particularly 'has or had location') to capture a relation between two places.","Corresponds to RiC-A27 (Location attribute)","","Place","rdfs:Literal","25 rue Saint-Denis à Paris [fr]; Montreal (city in Canada) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:longitude","longitude","longitude","longitud","Distance in degrees east or west of a prime meridian.","Property of the Coordinates class. If you don't use this class, use geographicalCoordinates property, a property of Place class.","","measure","Coordinates","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:measure","measure","mesure","medida","The extent, quantity, amount, or degree of an entity, as determined by measurement or calculation.","","","","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:modificationDate","modification date","date de modification","fecha de modificación","Date of the modification of an entity.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:name","name","nom","nombre","A label, title or term designating an entity in order to make it distinguishable from other similar entities.","Use only if you don't use Name class for handling names. Provides brief information about the content or other individual characteristics of the entity being described, necessary to distinguish it from other perhaps similar entities.","Corrresponds to RiC-A28 (Name attribute)","","Thing","rdfs:Literal","The Letter of Neacsu from Campulung to the Mayor of Brasov (about a Record) [en]; Digital copy of the Pomarius archival inventory from 1575 (about an Instantiation) [en]; D-Day (about a Date or Event) [en]; Halloween 2016 (about a Date) [en]; Fundraising, University of Glasgow (about an Activity) [en]; Providing hearing services (about an Activity) [en]; Nelson Mandela (about a Person) [en]; Papers of the Earls of Liverpool (about a Record Set) [en]; Paris (about a Place) [en]; Prime Minister (about a Position) [en]; Sketch Map of the Qatar Peninsula (about a Record) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:normalizedDateValue","normalized date value","valeur normalisée de la date","valor normalizado de fecha","Machine readable representation of the date based on a public technical standard.","Used to represent the date in a standardized format that can be processed programmatically. The main standard used today is ISO 8601, which is based on the Gregorian calendar. See also the Extended Date Time Format (EDTF), which is an extension of ISO 8601, and enables, among other features, to represent a date set, and to indicate the date is approximate.","Corresponds to RiC-A29 (Normalized Date attribute)","normalizedValue","Date","rdfs:Literal","2012-02-14/2015-03-08 (an ISO 8601 form of a date range) [en]; 2012/2015-03 (an ISO 8601 form of a date range) [en]; 1948-03 (an ISO 8601 form of a single date) [en]; 1948-03-08 (an ISO 8601 form of a single date) [en]; 1948-03~ (a single date in ETDF, meaning March 1948 approximately) [en]; 1948/.. (an open date range in EDTF, starting in 1948) [en]; 1948/ (a date range in EDTF, starting in 1948, end unknown) [en]; 1550,1551,1553,1555 (a date set in EDTF, meaning one of the years 1550, 1551, 1553, 1555) [en]; {1550,1551,1553,1555} (a date set in EDTF, meaning all of the years 1550, 1551, 1553, 1555) [en]; {1805,1815..1820} (a date set in EDTF, meaning all of the years 1805, 1815, 1816, 1817, 1818, 1819, 1820) [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-10-10 : Updated the rdfs:comment and examples, and added a scopeNote, in order to make this property fully compliant with RiC-CM 1.0. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the examples (skos:example). | 2024-09-02 : Fixed a typo in two of the EDTF examples."
"rico:normalizedValue","normalized value","valeur normalisée","valor normalizado","Value representation based on a standard, preferably machine-readable.","","","textualValue","Appellation; Date","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:physicalCharacteristicsNote","physical characteristics note","note sur les caractéristiques physiques","nota sobre las características físicas","Information about the physical features, completeness, or conservation status of an Instantiation. Includes information about the physical nature and condition such as conservation status or the deterioration of an Instantiation (for example its carrier) affecting the ability to recover information.","Not to be confused with the intellectual completeness of a Record Resource and its sub-entities, which is covered by the Integrity attribute. May include digital file fixity.","Corresponds to RiC-A31 (Physical Characteristics Note attribute)","","Instantiation","rdfs:Literal","carrier heavily foxed [en]; some loss of text due to rodent damage [en]; The charter is missing the seal. [en]; Letter physical characteristics: corner without text missing – the carrier is damaged, but no information of the content is missing [en]; British Library binding [en]; Watermarked [en]; A web page (HTML, 15 images, 2 CSS, 1 JavaScript), with 1 CSS missing. [en]; For carrier: hard drives on which the author wrote physically (using a pen). [en]; Digital file format: JPEG-2000 [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote, examples (skos:example)."
"rico:physicalOrLogicalExtent","physical or logical extent","importance physique ou logique","soporte físico o lógico","Countable characteristics of the content of an entity expressed as a quantity.","Provided for usability reasons. Use only if you cannot use the subproperties (particularly if the same free text is being used in your current metadata for describing the record resource, carrier and instantiation extent).","","","Instantiation; RecordResource","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:productionTechnique","production technique","technique de production","técnica de produccióon","The method used in the representation of information on an Instantiation.","Use only if you have free text or don't have a controlled vocabulary for production techniques (in this case, use the ProductionTechniqueType class)","Corresponds to RiC-A33 (Production Technique attribute)","","Instantiation","rdfs:Literal","engraving [en]; handwriting [en]; magnetic recording [en]; optical recording [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:publicationDate","publication date","date de publication","fecha de publicación","Date of the publication of a Record Resource.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","date","RecordResource","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:qualityOfRepresentationNote","quality of representation note","note sur la qualité de la représentation","nota sobre la calidad de representación","Characteristics of an Instantiation that affect the ability to recover the intellectual content. Such characteristics may be related to the methods used in creating the Instantiation or introduced subsequent to the creation through accident.","Quality of representation note is a specialization of physical characteristics note. Quality of representation note should be used in conjunction with physical characteristics note when the physical characteristics impact the ability to recover the intellectual content.","Corresponds to RiC-A34 (Quality of Representation Note attribute)","physicalCharacteristicsNote","Instantiation","rdfs:Literal","Black and white digitization may have led to loss of some information. [en]; some loss of information due to poor quality of image capture [en]; some loss of text due to rodent damage [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the IRI, mapping to RiC-CM (rico:RiCCMCorrespondingComponent), labels, description (rdfs:comment), skos:scopeNote, rdfs:subpropertyOf."
